127.0.0.1 - - [10/Sep/2018:14:48:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/js/plugins/align.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/js/plugins/code_beautifier.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/js/froala_editor.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:35 +0530] "GET /acitivity-portal/resources/js/plugins/colors.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/code_view.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/draggable.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/emoticons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/font_family.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/link.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/file.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/line_breaker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/image_manager.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/image.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/font_size.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/paragraph_style.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/lists.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/video.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/paragraph_format.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/url.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/table.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/entities.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/char_counter.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/quote.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/inline_style.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/save.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/fullscreen.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:36 +0530] "GET /acitivity-portal/resources/js/plugins/quick_insert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2018:14:48:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Sep/2018:18:34:50 +0530] "POST /acitivity-portal/upload_image HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [10/Sep/2018:18:34:53 +0530] "GET /acitivity-portal/resources/image/Lighthouse.jpg HTTP/1.1" 200 561276
0:0:0:0:0:0:0:1 - - [10/Sep/2018:18:35:16 +0530] "GET /acitivity-portal%5Cresources%5Cimage%5CLighthouse.jpg HTTP/1.1" 400 -
